 #m    e    m2    e2    
  0.6500     -1.3900      0.4225      1.9321
  0.6850     -1.2700      0.4692      1.6129
  0.6500     -1.4300      0.4225      2.0449
 -0.7800     -1.5100      0.6084      2.2801
  0.6850     -1.2900      0.4692      1.6641
  0.6250     -1.3000      0.3906      1.6900
  0.9000     -1.6700      0.8100      2.7889
  0.8350     -1.5700      0.6972      2.4649
  0.7400     -1.4300      0.5476      2.0449
  0.7450     -1.3100      0.5550      1.7161
  0.5400     -1.2700      0.2916      1.6129
  0.8200     -1.6200      0.6724      2.6244
  0.7650     -1.4900      0.5852      2.2201
  0.7400     -1.3800      0.5476      1.9044
  0.5150     -1.3200      0.2652      1.7424
  0.6850     -1.3500      0.4692      1.8225
  0.5200     -1.4200      0.2704      2.0164
  0.6100     -1.5100      0.3721      2.2801
  0.7950     -1.4600      0.6320      2.1316
  0.8000     -1.5100      0.6400      2.2801
